0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1.100000023841858,1.399999976158142,1.399999976158142,1.399999976158142,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,2.0,2.0,2.0,2.0,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.399999976158142,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83.0,11.0,1.0,11.0,171.0,927.8900146484375,0.03999999910593033,23.040000915527344,40.27000045776367,21378.609375,0.3100000023841858,1187.699951171875,65.0,10.0,6.0,0.0,18.0,25.0,107.0,64.0,21.0,1.0
46.0,8.0,6.0,8.0,141.0,769.780029296875,0.07000000029802322,14.859999656677246,51.810001373291016,11436.73046875,0.25999999046325684,635.3699951171875,37.0,2.0,5.0,0.0,16.0,28.0,89.0,52.0,15.0,1.0
25.0,3.0,1.0,3.0,58.0,254.75,0.10999999940395355,9.350000381469727,27.25,2381.949951171875,0.07999999821186066,132.3300018310547,21.0,0.0,2.0,0.0,11.0,10.0,41.0,17.0,5.0,1.0
43.0,3.0,1.0,3.0,115.0,569.72998046875,0.09000000357627869,11.270000457763672,50.529998779296875,6423.72998046875,0.1899999976158142,356.8699951171875,35.0,2.0,4.0,0.0,11.0,20.0,74.0,41.0,5.0,1.0
48.0,6.0,1.0,6.0,149.0,751.6099853515625,0.05999999865889549,15.430000305175781,48.720001220703125,11596.33984375,0.25,644.239990234375,41.0,2.0,2.0,0.0,12.0,21.0,95.0,54.0,11.0,1.0
69.0,12.0,1.0,12.0,231.0,1212.27001953125,0.03999999910593033,27.270000457763672,44.45000076293945,33061.94140625,0.4000000059604645,1836.77001953125,62.0,3.0,2.0,0.0,16.0,22.0,156.0,75.0,23.0,1.0
47.0,6.0,1.0,6.0,149.0,745.0,0.05999999865889549,16.200000762939453,45.9900016784668,12069.0,0.25,670.5,41.0,2.0,1.0,0.0,12.0,20.0,95.0,54.0,11.0,1.0
48.0,7.0,1.0,7.0,155.0,801.3400268554688,0.05999999865889549,17.81999969482422,44.970001220703125,14278.3896484375,0.27000001072883606,793.239990234375,42.0,2.0,1.0,0.0,14.0,22.0,99.0,56.0,13.0,1.0
58.0,9.0,1.0,9.0,193.0,1027.1300048828125,0.05000000074505806,20.700000762939453,49.619998931884766,21261.630859375,0.3400000035762787,1181.199951171875,50.0,2.0,2.0,0.0,15.0,25.0,124.0,69.0,17.0,1.0
65.0,6.0,1.0,5.0,155.0,801.3400268554688,0.05000000074505806,19.729999542236328,40.619998931884766,15808.2197265625,0.27000001072883606,878.22998046875,54.0,4.0,5.0,0.0,14.0,22.0,93.0,62.0,11.0,1.0
116.0,11.0,4.0,8.0,289.0,1700.0799560546875,0.03999999910593033,26.600000381469727,63.90999984741211,45222.23046875,0.5699999928474426,2512.35009765625,88.0,14.0,12.0,0.0,19.0,40.0,177.0,112.0,21.0,1.0
24.0,4.0,1.0,4.0,74.0,347.8299865722656,0.09000000357627869,11.369999885559082,30.600000381469727,3953.699951171875,0.11999999731779099,219.64999389648438,20.0,0.0,0.0,0.0,11.0,15.0,43.0,31.0,7.0,1.0
77.0,19.0,12.0,19.0,231.0,1245.6300048828125,0.029999999329447746,29.25,42.59000015258789,36434.5390625,0.41999998688697815,2024.1400146484375,61.0,7.0,7.0,0.0,18.0,24.0,153.0,78.0,37.0,1.0
9.0,1.0,1.0,1.0,13.0,46.599998474121094,0.28999999165534973,3.5,13.319999694824219,163.1199951171875,0.019999999552965164,9.0600004196167,5.0,0.0,0.0,0.0,7.0,5.0,8.0,5.0,1.0,1.0
16.0,2.0,1.0,2.0,43.0,191.75999450683594,0.18000000715255737,5.429999828338623,35.31999969482422,1040.9599609375,0.05999999865889549,57.83000183105469,13.0,0.0,1.0,0.0,8.0,14.0,24.0,19.0,3.0,1.0
93.0,7.0,3.0,6.0,257.0,1499.050048828125,0.029999999329447746,29.860000610351562,50.209999084472656,44757.4296875,0.5,2486.52001953125,71.0,4.0,15.0,0.0,22.0,35.0,162.0,95.0,12.0,1.0
23.0,1.0,1.0,1.0,67.0,307.19000244140625,0.20999999344348907,4.739999771118164,64.87000274658203,1454.6500244140625,0.10000000149011612,80.80999755859375,18.0,0.0,1.0,0.0,7.0,17.0,44.0,23.0,1.0,1.0
30.0,1.0,1.0,1.0,21.0,85.83999633789062,0.30000001192092896,3.3299999237060547,25.75,286.1199951171875,0.029999999329447746,15.899999618530273,18.0,0.0,1.0,0.0,5.0,12.0,5.0,16.0,1.0,1.0
30.0,1.0,1.0,1.0,54.0,108.0,0.029999999329447746,39.0,2.7699999809265137,4212.0,0.03999999910593033,234.0,28.0,0.0,0.0,0.0,3.0,1.0,28.0,26.0,1.0,1.0
35.0,3.0,1.0,3.0,108.0,529.9400024414062,0.07999999821186066,13.0,40.7599983215332,6889.27001953125,0.18000000715255737,382.739990234375,30.0,0.0,3.0,0.0,12.0,18.0,69.0,39.0,5.0,1.0
25.0,4.0,1.0,4.0,57.0,232.99000549316406,0.07000000029802322,13.5,17.260000228881836,3145.300048828125,0.07999999821186066,174.74000549316406,20.0,0.0,3.0,0.0,9.0,8.0,33.0,24.0,7.0,1.0
20.0,7.0,7.0,3.0,54.0,240.80999755859375,0.10000000149011612,9.579999923706055,25.1299991607666,2307.760009765625,0.07999999821186066,128.2100067138672,14.0,0.0,1.0,0.0,10.0,12.0,31.0,23.0,13.0,1.0
119.0,14.0,1.0,14.0,289.0,1605.280029296875,0.029999999329447746,30.719999313354492,52.25,49320.73046875,0.5400000214576721,2740.0400390625,85.0,26.0,6.0,0.0,18.0,29.0,190.0,99.0,27.0,1.0
35.0,4.0,1.0,4.0,78.0,362.2200012207031,0.07000000029802322,14.3100004196167,25.31999969482422,5182.5400390625,0.11999999731779099,287.9200134277344,31.0,0.0,2.0,0.0,12.0,13.0,47.0,31.0,7.0,1.0
33.0,4.0,1.0,4.0,73.0,334.70001220703125,0.07000000029802322,14.5,23.079999923706055,4853.18017578125,0.10999999940395355,269.6199951171875,30.0,0.0,1.0,0.0,12.0,12.0,44.0,29.0,7.0,1.0
17.0,2.0,1.0,2.0,25.0,92.51000213623047,0.1599999964237213,6.400000095367432,14.449999809265137,592.0700073242188,0.029999999329447746,32.88999938964844,12.0,0.0,3.0,0.0,8.0,5.0,17.0,8.0,3.0,1.0
44.0,3.0,1.0,3.0,127.0,603.8699951171875,0.05999999865889549,16.0,37.7400016784668,9661.9296875,0.20000000298023224,536.77001953125,38.0,2.0,2.0,0.0,12.0,15.0,87.0,40.0,5.0,1.0
84.0,15.0,9.0,15.0,230.0,1347.3399658203125,0.03999999910593033,25.260000228881836,53.349998474121094,34029.328125,0.44999998807907104,1890.52001953125,72.0,0.0,10.0,0.0,21.0,37.0,141.0,89.0,29.0,1.0
56.0,3.0,1.0,3.0,150.0,769.3900146484375,0.07000000029802322,14.09000015258789,54.619998931884766,10838.400390625,0.25999999046325684,602.1300048828125,43.0,3.0,4.0,0.0,12.0,23.0,96.0,54.0,5.0,1.0
58.0,3.0,1.0,3.0,191.0,1016.489990234375,0.05000000074505806,21.0,48.400001525878906,21346.25,0.3400000035762787,1185.9000244140625,46.0,2.0,3.0,0.0,15.0,25.0,121.0,70.0,5.0,1.0
78.0,7.0,1.0,6.0,213.0,1189.5999755859375,0.05999999865889549,17.709999084472656,67.19000244140625,21062.859375,0.4000000059604645,1170.1600341796875,66.0,4.0,6.0,0.0,14.0,34.0,127.0,86.0,13.0,1.0
75.0,8.0,3.0,8.0,250.0,1356.5699462890625,0.029999999329447746,29.100000381469727,46.619998931884766,39470.859375,0.44999998807907104,2192.830078125,63.0,5.0,5.0,0.0,17.0,26.0,161.0,89.0,15.0,1.0
12.0,1.0,1.0,1.0,22.0,76.11000061035156,0.30000001192092896,3.3299999237060547,22.829999923706055,253.69000244140625,0.029999999329447746,14.09000015258789,6.0,1.0,3.0,0.0,5.0,6.0,14.0,8.0,1.0,1.0
