0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1.0,65.0,168.0,1.0,3.0,3.0,39.0,0.0,0.0,1.0,1.0,1.0,32.0,161.0,0.0
0.0,72.0,123.0,1.0,7.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,53.0,1.0,0.0
0.0,142.0,52.0,0.0,3.0,3.0,31.0,0.0,0.0,1.0,1.0,1.0,98.0,1.0,0.0
0.0,60.0,169.0,0.0,4.0,2.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0
1.0,44.0,134.0,1.0,5.0,3.0,46.0,1.0,1.0,15.0,0.0,1.0,18.0,68.0,1.0
0.0,4.0,20.0,1.0,7.0,6.0,37.0,1.0,1.0,3.0,0.0,1.0,32.0,1.0,1.0
1.0,16.0,119.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,18.0,50.0,0.0
0.0,330.0,94.0,1.0,10.0,6.0,66.0,1.0,1.0,7.0,0.0,1.0,12.0,120.0,1.0
1.0,126.0,33.0,0.0,1.0,6.0,65.0,0.0,0.0,1.0,0.0,1.0,61.0,117.0,0.0
0.0,315.0,125.0,1.0,3.0,6.0,100.0,1.0,1.0,4.0,1.0,1.0,32.0,36.0,0.0
1.0,183.0,52.0,1.0,13.0,6.0,81.0,1.0,1.0,5.0,1.0,1.0,89.0,144.0,1.0
1.0,248.0,102.0,1.0,10.0,6.0,85.0,1.0,1.0,7.0,1.0,1.0,148.0,1.0,1.0
1.0,49.0,40.0,0.0,7.0,6.0,34.0,1.0,1.0,4.0,1.0,1.0,45.0,79.0,0.0
1.0,198.0,102.0,1.0,13.0,6.0,104.0,1.0,1.0,7.0,1.0,1.0,1.0,150.0,1.0
1.0,329.0,69.0,1.0,7.0,3.0,56.0,0.0,0.0,1.0,1.0,1.0,107.0,1.0,0.0
1.0,284.0,116.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,196.0,1.0
1.0,142.0,95.0,1.0,8.0,3.0,104.0,1.0,1.0,3.0,1.0,1.0,109.0,1.0,1.0
0.0,33.0,139.0,1.0,5.0,3.0,20.0,1.0,1.0,3.0,0.0,1.0,26.0,124.0,1.0
1.0,42.0,40.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,45.0,5.0,0.0
0.0,69.0,111.0,1.0,10.0,3.0,60.0,1.0,1.0,8.0,0.0,1.0,41.0,202.0,1.0
0.0,129.0,20.0,1.0,5.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,92.0,151.0,0.0
0.0,35.0,20.0,0.0,5.0,3.0,16.0,1.0,0.0,1.0,1.0,1.0,53.0,1.0,0.0
1.0,246.0,42.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,57.0,1.0,0.0
1.0,250.0,52.0,1.0,3.0,3.0,6.0,1.0,0.0,1.0,0.0,1.0,53.0,1.0,0.0
1.0,38.0,146.0,1.0,5.0,3.0,21.0,0.0,0.0,1.0,0.0,1.0,24.0,101.0,0.0
1.0,176.0,46.0,1.0,12.0,6.0,93.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
1.0,70.0,5.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,69.0,44.0,0.0
1.0,181.0,74.0,0.0,7.0,6.0,48.0,1.0,1.0,2.0,1.0,1.0,63.0,235.0,1.0
0.0,155.0,175.0,1.0,7.0,3.0,47.0,1.0,1.0,2.0,0.0,1.0,77.0,20.0,1.0
1.0,77.0,66.0,1.0,7.0,3.0,28.0,1.0,1.0,12.0,1.0,1.0,18.0,186.0,1.0
1.0,118.0,26.0,1.0,7.0,6.0,78.0,1.0,1.0,4.0,1.0,1.0,106.0,66.0,1.0
0.0,47.0,160.0,0.0,13.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,51.0,28.0,0.0
1.0,305.0,43.0,0.0,7.0,6.0,114.0,1.0,0.0,1.0,1.0,1.0,69.0,50.0,0.0
1.0,77.0,169.0,1.0,8.0,6.0,50.0,1.0,1.0,12.0,1.0,1.0,100.0,92.0,1.0
1.0,259.0,40.0,1.0,6.0,3.0,123.0,0.0,1.0,2.0,1.0,1.0,115.0,54.0,0.0
1.0,348.0,204.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,102.0,0.0
1.0,95.0,180.0,1.0,5.0,3.0,65.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0
1.0,236.0,191.0,1.0,8.0,3.0,111.0,1.0,1.0,7.0,1.0,1.0,20.0,1.0,1.0
