0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
234.0,120.0,254.0,3260.0,70.0,1604.0,3397.0,8.0,2377.0,0.0,223.0,171.0,229.0,4406.0,3594.0,0.0,225.0,316.0,60.0,129.0,1.0
228.0,-9.0,251.0,876.0,164.0,3971.0,2991.0,7.0,2042.0,95.0,199.0,223.0,227.0,2107.0,3980.0,2.0,242.0,66.0,76.0,149.0,0.0
229.0,0.0,226.0,2765.0,39.0,3583.0,2766.0,10.0,842.0,0.0,201.0,187.0,221.0,4478.0,2297.0,0.0,218.0,113.0,175.0,131.0,0.0
248.0,45.0,221.0,4865.0,16.0,1031.0,2390.0,23.0,1104.0,371.0,254.0,225.0,193.0,937.0,1187.0,234.0,186.0,23.0,99.0,121.0,0.0
229.0,16.0,226.0,918.0,299.0,3488.0,2131.0,6.0,911.0,30.0,232.0,226.0,203.0,4568.0,1465.0,1.0,238.0,21.0,234.0,174.0,0.0
165.0,60.0,250.0,1048.0,159.0,1702.0,3036.0,14.0,1358.0,323.0,238.0,189.0,234.0,1513.0,631.0,71.0,242.0,180.0,349.0,135.0,0.0
231.0,133.0,209.0,5863.0,298.0,2723.0,2026.0,30.0,270.0,300.0,141.0,217.0,124.0,2821.0,859.0,177.0,214.0,32.0,265.0,223.0,0.0
235.0,128.0,205.0,4357.0,313.0,400.0,3406.0,8.0,1820.0,382.0,229.0,209.0,198.0,706.0,674.0,38.0,234.0,347.0,259.0,175.0,1.0
228.0,26.0,215.0,2132.0,46.0,2860.0,3113.0,26.0,2301.0,525.0,226.0,233.0,218.0,5313.0,2190.0,204.0,174.0,112.0,53.0,76.0,0.0
176.0,193.0,213.0,2389.0,81.0,4530.0,3358.0,6.0,1087.0,402.0,216.0,188.0,228.0,1218.0,2531.0,36.0,230.0,165.0,210.0,136.0,1.0
207.0,0.0,191.0,1855.0,43.0,2242.0,3100.0,16.0,4862.0,390.0,233.0,141.0,221.0,1276.0,446.0,30.0,203.0,202.0,2.0,112.0,0.0
191.0,43.0,237.0,1366.0,13.0,1091.0,3251.0,16.0,2255.0,859.0,228.0,183.0,203.0,5895.0,2220.0,117.0,205.0,83.0,243.0,136.0,1.0
223.0,4.0,239.0,518.0,106.0,2184.0,2963.0,21.0,1198.0,618.0,226.0,204.0,250.0,2255.0,743.0,167.0,210.0,254.0,7.0,78.0,0.0
214.0,69.0,231.0,1550.0,267.0,1931.0,3372.0,4.0,1513.0,268.0,226.0,229.0,209.0,5342.0,841.0,29.0,241.0,118.0,309.0,170.0,1.0
236.0,123.0,207.0,362.0,232.0,3251.0,3092.0,14.0,2839.0,0.0,234.0,230.0,196.0,2048.0,1187.0,0.0,252.0,30.0,321.0,191.0,0.0
226.0,18.0,213.0,684.0,332.0,3487.0,3803.0,16.0,5023.0,876.0,218.0,213.0,183.0,1806.0,3103.0,357.0,219.0,202.0,162.0,175.0,1.0
169.0,17.0,211.0,3443.0,108.0,3019.0,3346.0,22.0,1931.0,30.0,231.0,213.0,251.0,3215.0,990.0,7.0,209.0,55.0,100.0,75.0,1.0
230.0,20.0,206.0,1323.0,55.0,1461.0,3327.0,23.0,2557.0,0.0,207.0,207.0,227.0,2781.0,558.0,0.0,184.0,180.0,35.0,78.0,1.0
235.0,22.0,180.0,661.0,58.0,1765.0,3403.0,4.0,1935.0,636.0,224.0,159.0,223.0,2603.0,1774.0,124.0,230.0,89.0,45.0,143.0,1.0
191.0,42.0,254.0,2694.0,321.0,5365.0,3442.0,23.0,1733.0,108.0,225.0,165.0,155.0,408.0,2010.0,22.0,211.0,18.0,72.0,193.0,1.0
236.0,165.0,251.0,1383.0,122.0,3408.0,3001.0,12.0,2724.0,511.0,244.0,246.0,241.0,2125.0,2549.0,53.0,230.0,155.0,115.0,117.0,0.0
244.0,10.0,220.0,4484.0,126.0,955.0,3308.0,15.0,2058.0,0.0,207.0,223.0,244.0,1484.0,875.0,0.0,228.0,92.0,27.0,109.0,1.0
213.0,139.0,221.0,1253.0,40.0,323.0,3153.0,4.0,5121.0,524.0,237.0,133.0,220.0,2145.0,924.0,107.0,231.0,12.0,301.0,147.0,0.0
212.0,15.0,236.0,3039.0,118.0,3153.0,3371.0,21.0,3704.0,124.0,235.0,196.0,250.0,1698.0,2663.0,-20.0,217.0,154.0,322.0,84.0,1.0
225.0,0.0,230.0,1956.0,349.0,1277.0,3369.0,5.0,2689.0,42.0,252.0,233.0,211.0,3740.0,2316.0,3.0,232.0,9.0,335.0,159.0,1.0
191.0,72.0,238.0,2762.0,172.0,721.0,3190.0,7.0,3461.0,295.0,227.0,144.0,225.0,3171.0,524.0,11.0,244.0,323.0,255.0,152.0,0.0
226.0,197.0,254.0,2308.0,53.0,592.0,2863.0,14.0,3818.0,295.0,225.0,164.0,227.0,2230.0,5538.0,111.0,208.0,36.0,136.0,111.0,0.0
174.0,41.0,209.0,2603.0,294.0,3217.0,3381.0,8.0,1589.0,277.0,250.0,226.0,197.0,1725.0,807.0,27.0,238.0,15.0,281.0,181.0,1.0
210.0,-82.0,222.0,4529.0,102.0,3132.0,3405.0,11.0,738.0,446.0,247.0,239.0,239.0,3861.0,626.0,42.0,225.0,0.0,60.0,116.0,1.0
198.0,242.0,254.0,150.0,175.0,127.0,3320.0,9.0,1006.0,510.0,250.0,217.0,225.0,3871.0,1116.0,99.0,245.0,207.0,42.0,153.0,1.0
240.0,120.0,238.0,4737.0,306.0,4624.0,2828.0,10.0,2486.0,42.0,238.0,231.0,191.0,6412.0,2345.0,5.0,234.0,63.0,280.0,183.0,0.0
244.0,23.0,249.0,2409.0,90.0,2363.0,3277.0,1.0,3901.0,0.0,215.0,221.0,220.0,2006.0,3738.0,0.0,237.0,7.0,333.0,153.0,1.0
203.0,1.0,229.0,201.0,127.0,3160.0,3417.0,23.0,4207.0,30.0,232.0,249.0,251.0,5544.0,4149.0,10.0,219.0,164.0,90.0,83.0,1.0
222.0,13.0,227.0,2326.0,104.0,5366.0,3350.0,6.0,4432.0,0.0,179.0,232.0,230.0,2200.0,4097.0,0.0,233.0,138.0,105.0,136.0,1.0
221.0,69.0,245.0,3062.0,354.0,5325.0,3371.0,11.0,4258.0,256.0,186.0,197.0,202.0,2777.0,3861.0,72.0,221.0,290.0,333.0,157.0,1.0
206.0,123.0,220.0,731.0,208.0,242.0,3286.0,38.0,474.0,443.0,172.0,233.0,166.0,4278.0,1054.0,124.0,242.0,30.0,135.0,182.0,0.0
221.0,40.0,233.0,5883.0,172.0,240.0,2792.0,20.0,1282.0,150.0,229.0,243.0,229.0,4962.0,1584.0,57.0,245.0,79.0,346.0,138.0,0.0
191.0,16.0,223.0,1812.0,89.0,2058.0,3374.0,12.0,2076.0,331.0,218.0,213.0,238.0,2383.0,3421.0,52.0,220.0,35.0,45.0,111.0,1.0
224.0,48.0,248.0,2213.0,333.0,663.0,3387.0,8.0,1262.0,924.0,166.0,215.0,201.0,6201.0,1848.0,116.0,229.0,38.0,18.0,168.0,1.0
200.0,151.0,241.0,2632.0,243.0,1266.0,2982.0,7.0,3767.0,212.0,208.0,236.0,205.0,3072.0,2686.0,48.0,246.0,103.0,111.0,179.0,0.0
214.0,18.0,230.0,4335.0,119.0,3714.0,3301.0,15.0,1159.0,577.0,249.0,224.0,245.0,1464.0,1172.0,144.0,225.0,188.0,111.0,105.0,1.0
220.0,0.0,232.0,1794.0,92.0,1296.0,3353.0,21.0,3390.0,390.0,243.0,192.0,247.0,2529.0,1704.0,31.0,203.0,47.0,315.0,74.0,1.0
235.0,-22.0,189.0,1263.0,157.0,2324.0,2923.0,29.0,1639.0,120.0,184.0,175.0,237.0,3210.0,1953.0,39.0,229.0,248.0,29.0,101.0,0.0
181.0,0.0,226.0,2433.0,149.0,6227.0,3416.0,11.0,1591.0,484.0,233.0,211.0,235.0,2496.0,750.0,259.0,239.0,96.0,197.0,134.0,1.0
211.0,10.0,190.0,2190.0,90.0,3841.0,2919.0,8.0,3013.0,366.0,249.0,236.0,233.0,2285.0,1965.0,42.0,227.0,177.0,333.0,127.0,0.0
217.0,88.0,239.0,644.0,356.0,376.0,3386.0,13.0,1365.0,658.0,223.0,219.0,198.0,947.0,1477.0,47.0,216.0,300.0,141.0,155.0,1.0
205.0,31.0,229.0,85.0,99.0,466.0,3194.0,17.0,1320.0,150.0,225.0,212.0,245.0,2430.0,1277.0,25.0,215.0,15.0,164.0,93.0,1.0
194.0,74.0,225.0,646.0,314.0,4884.0,3172.0,15.0,3197.0,484.0,228.0,240.0,177.0,3975.0,1260.0,96.0,226.0,80.0,319.0,189.0,0.0
174.0,0.0,227.0,684.0,170.0,5402.0,3401.0,13.0,4222.0,67.0,219.0,225.0,229.0,3565.0,4052.0,4.0,245.0,2.0,52.0,146.0,1.0
171.0,-11.0,238.0,4224.0,5.0,1777.0,3284.0,11.0,2140.0,67.0,223.0,230.0,205.0,1979.0,2780.0,7.0,218.0,8.0,340.0,149.0,1.0
134.0,30.0,249.0,3786.0,18.0,1963.0,3227.0,3.0,3283.0,30.0,244.0,202.0,217.0,3352.0,2081.0,0.0,233.0,201.0,104.0,153.0,1.0
236.0,6.0,246.0,2192.0,325.0,1173.0,3385.0,11.0,1131.0,875.0,237.0,207.0,191.0,5813.0,1973.0,135.0,227.0,50.0,26.0,176.0,1.0
224.0,61.0,209.0,3526.0,335.0,3987.0,2965.0,10.0,4490.0,330.0,237.0,196.0,198.0,2980.0,5702.0,20.0,227.0,157.0,71.0,168.0,0.0
239.0,21.0,245.0,1273.0,93.0,3612.0,3380.0,16.0,1812.0,626.0,173.0,250.0,243.0,875.0,1804.0,147.0,214.0,24.0,156.0,96.0,1.0
212.0,1.0,251.0,1358.0,335.0,3500.0,3293.0,5.0,4111.0,42.0,205.0,180.0,209.0,1450.0,3814.0,3.0,233.0,114.0,33.0,163.0,1.0
186.0,99.0,220.0,964.0,188.0,1772.0,3350.0,14.0,4478.0,607.0,251.0,237.0,220.0,1798.0,2438.0,111.0,250.0,82.0,132.0,160.0,1.0
173.0,53.0,218.0,3903.0,129.0,5518.0,3349.0,16.0,2989.0,30.0,249.0,214.0,245.0,272.0,916.0,-3.0,228.0,356.0,354.0,107.0,1.0
194.0,31.0,204.0,953.0,65.0,4524.0,3259.0,7.0,6233.0,339.0,208.0,206.0,227.0,1492.0,612.0,46.0,226.0,345.0,264.0,134.0,0.0
217.0,39.0,219.0,2147.0,240.0,1440.0,3363.0,5.0,2679.0,67.0,174.0,200.0,210.0,2040.0,663.0,0.0,244.0,104.0,94.0,172.0,1.0
199.0,69.0,207.0,1266.0,74.0,979.0,3444.0,15.0,2249.0,768.0,218.0,206.0,237.0,3395.0,1538.0,211.0,211.0,188.0,56.0,102.0,1.0
215.0,40.0,208.0,2084.0,207.0,2730.0,2984.0,6.0,488.0,335.0,160.0,225.0,216.0,1436.0,1530.0,80.0,246.0,292.0,32.0,166.0,0.0
234.0,47.0,229.0,4514.0,167.0,1530.0,3428.0,15.0,3412.0,1036.0,234.0,238.0,231.0,1782.0,962.0,79.0,244.0,21.0,296.0,141.0,1.0
151.0,28.0,236.0,4120.0,217.0,726.0,2451.0,17.0,918.0,124.0,225.0,233.0,200.0,2629.0,1289.0,47.0,254.0,282.0,169.0,186.0,0.0
229.0,0.0,180.0,2002.0,82.0,5308.0,3423.0,8.0,2140.0,708.0,231.0,149.0,232.0,2778.0,1563.0,144.0,225.0,65.0,51.0,126.0,0.0
158.0,72.0,238.0,1374.0,136.0,2394.0,3261.0,14.0,4106.0,323.0,236.0,189.0,240.0,1465.0,1368.0,147.0,234.0,132.0,318.0,120.0,0.0
222.0,12.0,232.0,2734.0,173.0,642.0,3368.0,8.0,2809.0,942.0,227.0,202.0,225.0,323.0,1442.0,166.0,244.0,72.0,324.0,152.0,1.0
