sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,end,is_recid
1,25,0,0,0,0,0,0,-1.0,1.0,3,3,1,0,3,1,734,-1
0,37,0,2,0,0,0,2,-1.0,1.0,2,4,2,0,1,1,110,-1
1,33,0,2,0,0,0,4,-56.0,56.0,6,5,2,0,4,2,961,-1
0,44,0,2,0,0,0,4,-11.0,11.0,2,3,1,0,1,1,736,-1
0,24,2,2,0,0,4,1,-24.0,24.0,7,3,1,0,3,1,1046,-1
1,37,0,0,2,0,0,27,-1.0,1.0,2,9,0,0,8,0,751,-1
1,56,1,0,0,0,0,0,-1.0,1.0,3,1,1,0,0,1,1101,-1
0,24,2,0,0,0,0,1,-1.0,1.0,2,8,0,0,4,2,309,-1
1,31,0,3,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,324,-1
1,53,1,0,0,0,0,13,-1.0,1.0,2,6,2,0,5,2,1093,-1
0,24,2,0,0,1,0,3,-1.0,1.0,3,6,2,0,3,1,621,-1
0,53,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,837,-1
1,24,2,3,0,0,0,0,-1.0,1.0,2,4,2,0,3,1,1098,-1
0,27,0,0,0,0,0,0,-1.0,1.0,3,7,0,0,5,2,589,-1
0,26,0,0,0,0,0,0,-6.0,6.0,7,8,0,0,6,2,925,-1
1,32,0,0,0,0,0,1,-1.0,1.0,3,1,1,0,3,1,283,-1
1,60,1,0,0,0,0,2,-1.0,1.0,7,0,1,0,0,1,481,-1
0,32,0,2,0,0,0,0,-2.0,2.0,7,3,1,0,3,1,479,-1
1,24,2,2,0,0,2,6,0.0,0.0,3,9,0,0,4,2,961,-1
1,21,2,2,0,0,1,3,-47.0,48.0,1,2,1,0,3,1,646,-1
1,33,0,3,0,0,0,0,-2.0,2.0,7,0,1,0,0,1,627,-1
1,20,2,0,0,0,0,0,-1.0,1.0,3,2,1,0,4,2,843,-1
1,52,1,5,0,0,0,2,-1.0,1.0,3,0,1,0,0,1,896,-1
1,34,0,0,0,0,0,7,0.0,0.0,2,5,2,0,6,2,678,-1
1,28,0,0,0,0,0,3,0.0,0.0,7,1,1,0,1,1,1083,-1
1,40,0,3,0,0,0,2,-1.0,386.0,7,1,1,0,0,1,295,-1
1,39,0,0,0,0,0,2,-1.0,78.0,8,0,1,0,0,1,1159,-1
1,34,0,0,0,0,0,1,-1.0,1.0,3,4,2,0,2,1,1177,-1
1,32,0,3,0,0,0,1,0.0,0.0,3,2,1,0,1,1,766,-1
1,34,0,0,0,0,0,2,-1.0,1.0,3,1,1,0,0,1,900,-1
0,26,0,5,0,0,0,1,-24.0,1349.0,7,5,2,0,3,1,1011,-1
1,38,0,2,0,0,0,2,-4.0,4.0,3,1,1,0,0,1,518,-1
1,28,0,3,0,0,0,1,44.0,319.0,8,6,2,0,2,1,1156,-1
1,25,0,5,0,0,0,0,0.0,0.0,7,0,1,0,1,1,833,-1
1,50,1,0,0,0,0,2,-4.0,4.0,1,0,1,0,0,1,508,-1
0,45,1,5,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,1038,-1
1,26,0,0,0,0,0,2,-1.0,1.0,3,1,1,0,2,1,1095,-1
1,25,0,0,0,0,0,1,-1.0,1.0,3,6,2,0,8,0,514,-1
1,23,2,0,0,0,0,4,-1.0,1.0,3,7,0,0,4,2,503,-1
1,23,2,0,0,0,0,1,0.0,1.0,7,7,0,0,7,0,1149,-1
1,41,0,0,2,0,1,29,-1.0,1.0,7,9,0,0,6,2,1109,-1
0,39,0,0,0,0,0,1,7.0,121.0,2,4,2,0,4,2,7,-1
