rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neighbors,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,accuracy__status,accuracy__accuracy
FunctionTransformer,,,imputation_discretization_rebalancing_features_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,PCA,3,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,14,,,minkowski,,,,,previous_constraint,-inf
SMOTE,,5,rebalancing_features_discretization_imputation_normalization_classification,,,,,MinMaxScaler,FunctionTransformer,,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,3,ordinal,,GaussianNB,,,,,,,,,,previous_constraint,-inf
FunctionTransformer,,,imputation_discretization_features_normalization_rebalancing_classification,,True,,False,RobustScaler,FunctionTransformer,,,,SelectKBest,,3,KBinsDiscretizer,,kmeans,4,ordinal,distance,KNeighborsClassifier,,11,,,manhattan,,,,,previous_constraint,-inf
FunctionTransformer,,,discretization_normalization_rebalancing_imputation_features_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,PCA,1,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,5,,,manhattan,,,,,previous_constraint,-inf
FunctionTransformer,,,rebalancing_features_normalization_imputation_discretization_classification,,True,,True,RobustScaler,IterativeImputer,,constant,descending,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,previous_constraint,-inf
NearMiss,1,,imputation_features_rebalancing_discretization_normalization_classification,,False,,True,RobustScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,6,ordinal,,GaussianNB,,,,,,,,,,success,0.3815808959644576
SMOTE,,5,rebalancing_features_imputation_discretization_normalization_classification,,,,,PowerTransformer,SimpleImputer,most_frequent,,,SelectKBest,,1,Binarizer,2.0,,,,,GaussianNB,,,,,,,,,,previous_constraint,-inf
NearMiss,1,,features_discretization_normalization_imputation_rebalancing_classification,,,,,PowerTransformer,SimpleImputer,constant,,,SelectKBest,,1,KBinsDiscretizer,,uniform,6,ordinal,uniform,KNeighborsClassifier,,4,,,minkowski,,,,,previous_constraint,-inf
SMOTE,,5,normalization_imputation_features_rebalancing_discretization_classification,,,,,PowerTransformer,IterativeImputer,,constant,ascending,FunctionTransformer,,,KBinsDiscretizer,,quantile,4,ordinal,,GaussianNB,,,,,,,,,,previous_constraint,-inf
NearMiss,2,,discretization_imputation_normalization_rebalancing_features_classification,,True,,True,RobustScaler,FunctionTransformer,,,,PCA,2,,KBinsDiscretizer,,kmeans,5,ordinal,distance,KNeighborsClassifier,,9,,,manhattan,,,,,previous_constraint,-inf
SMOTE,,5,normalization_features_imputation_discretization_rebalancing_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,18,,,manhattan,,,,,previous_constraint,-inf
NearMiss,1,,imputation_discretization_rebalancing_features_normalization_classification,False,,False,,StandardScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,random,,4,1,,3,2,3,entropy,previous_constraint,-inf
NearMiss,1,,imputation_features_rebalancing_discretization_normalization_classification,,,,,MinMaxScaler,FunctionTransformer,,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,3,ordinal,,GaussianNB,,,,,,,,,,fail,-inf
SMOTE,,6,normalization_features_rebalancing_discretization_imputation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,6,ordinal,,GaussianNB,,,,,,,,,,previous_constraint,-inf
NearMiss,2,,imputation_features_rebalancing_discretization_normalization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,3,ordinal,,DecisionTreeClassifier,best,,2,4,,2,1,1,gini,success,0.21592002961865972
NearMiss,2,,imputation_features_rebalancing_discretization_normalization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,,DecisionTreeClassifier,best,,2,4,,2,1,1,gini,success,0.21321732691595705
NearMiss,2,,discretization_rebalancing_features_normalization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,2,4,,2,1,1,gini,previous_constraint,-inf
NearMiss,2,,rebalancing_discretization_imputation_features_normalization_classification,True,,True,,StandardScaler,SimpleImputer,most_frequent,,,PCA,3,,KBinsDiscretizer,,uniform,3,ordinal,,DecisionTreeClassifier,best,,3,3,,4,1,2,gini,previous_constraint,-inf
NearMiss,1,,rebalancing_normalization_imputation_features_discretization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,6,ordinal,,DecisionTreeClassifier,best,,2,2,,2,2,1,gini,previous_constraint,-inf
NearMiss,2,,discretization_imputation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,,DecisionTreeClassifier,random,,3,3,,3,1,2,entropy,previous_constraint,-inf
NearMiss,1,,features_imputation_normalization_rebalancing_discretization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,4,ordinal,,DecisionTreeClassifier,best,,4,4,,4,2,3,gini,previous_constraint,-inf
NearMiss,1,,imputation_features_discretization_normalization_rebalancing_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,PCA,1,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,success,0.22947056645686784
NearMiss,2,,rebalancing_features_imputation_discretization_normalization_classification,,,,,FunctionTransformer,IterativeImputer,,constant,ascending,PCA,1,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,previous_constraint,-inf
NearMiss,1,,imputation_normalization_rebalancing_discretization_features_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,PCA,1,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,success,0.22952610144390967
NearMiss,1,,rebalancing_discretization_normalization_features_imputation_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,PCA,1,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,previous_constraint,-inf
