normalization__with_mean,normalization__with_std,classification__n_neighbors,classification__type,normalization__type,classification__max_depth,discretization__n_bins,discretization__type,balanced_accuracy,prototype
,,2,KNeighborsClassifier,FunctionTransformer,,,FunctionTransformer,0.9533333333333334,normalization_discretization_classification
,,,DecisionTreeClassifier,FunctionTransformer,14,,FunctionTransformer,0.9533333333333331,normalization_classification
False,False,,DecisionTreeClassifier,StandardScaler,25,4,KBinsDiscretizer,-inf,discretization_normalization_classification
,,2,KNeighborsClassifier,FunctionTransformer,,,FunctionTransformer,0.9533333333333334,classification
,,3,KNeighborsClassifier,FunctionTransformer,,,FunctionTransformer,0.9666666666666666,discretization_classification
,,9,KNeighborsClassifier,FunctionTransformer,,,FunctionTransformer,0.9733333333333333,classification
,,5,KNeighborsClassifier,FunctionTransformer,,,FunctionTransformer,0.9666666666666666,classification
,,29,KNeighborsClassifier,MinMaxScaler,,,FunctionTransformer,0.96,discretization_normalization_classification
,,10,KNeighborsClassifier,FunctionTransformer,,8,KBinsDiscretizer,0.9466666666666667,discretization_normalization_classification
,,15,KNeighborsClassifier,MinMaxScaler,,9,KBinsDiscretizer,0.9666666666666666,normalization_classification
,,,DecisionTreeClassifier,MinMaxScaler,2,3,KBinsDiscretizer,-inf,discretization_classification
False,True,17,KNeighborsClassifier,StandardScaler,,3,KBinsDiscretizer,0.9399999999999998,normalization_discretization_classification
,,3,KNeighborsClassifier,FunctionTransformer,,,FunctionTransformer,0.9666666666666666,classification
True,True,19,KNeighborsClassifier,StandardScaler,,,FunctionTransformer,0.9466666666666667,normalization_classification
,,7,KNeighborsClassifier,FunctionTransformer,,,FunctionTransformer,0.9666666666666666,classification
,,8,KNeighborsClassifier,FunctionTransformer,,,FunctionTransformer,0.9666666666666666,discretization_classification
False,True,,DecisionTreeClassifier,StandardScaler,29,2,KBinsDiscretizer,-inf,discretization_classification
True,False,22,KNeighborsClassifier,StandardScaler,,,FunctionTransformer,0.9666666666666666,normalization_discretization_classification
,,,DecisionTreeClassifier,FunctionTransformer,29,,FunctionTransformer,0.9533333333333331,discretization_classification
,,,DecisionTreeClassifier,MinMaxScaler,2,,FunctionTransformer,-inf,discretization_normalization_classification
True,True,,DecisionTreeClassifier,StandardScaler,17,,FunctionTransformer,-inf,classification
True,False,21,KNeighborsClassifier,StandardScaler,,,FunctionTransformer,0.9666666666666666,normalization_discretization_classification
True,False,,DecisionTreeClassifier,StandardScaler,2,,FunctionTransformer,-inf,normalization_discretization_classification
False,False,,DecisionTreeClassifier,StandardScaler,2,4,KBinsDiscretizer,-inf,discretization_normalization_classification
True,False,21,KNeighborsClassifier,StandardScaler,,,FunctionTransformer,0.9666666666666666,classification
