normalization__with_mean,discretization__n_bins,prototype,discretization__type,accuracy,normalization__with_std,normalization__type,classification__max_depth,classification__n_neighbors,classification__type
,,normalization_discretization_classification,FunctionTransformer,0.6699346405228759,,FunctionTransformer,,2,KNeighborsClassifier
,,normalization_classification,FunctionTransformer,0.865032679738562,,FunctionTransformer,14,,DecisionTreeClassifier
False,4,discretization_normalization_classification,KBinsDiscretizer,-inf,False,StandardScaler,25,,DecisionTreeClassifier
,,classification,FunctionTransformer,0.6699346405228759,,FunctionTransformer,,2,KNeighborsClassifier
,,discretization_classification,FunctionTransformer,0.7209150326797384,,FunctionTransformer,,3,KNeighborsClassifier
,,classification,FunctionTransformer,0.6977124183006536,,FunctionTransformer,,9,KNeighborsClassifier
,,discretization_normalization_classification,FunctionTransformer,0.9663398692810456,,MinMaxScaler,,29,KNeighborsClassifier
,,discretization_normalization_classification,FunctionTransformer,0.9718954248366012,,MinMaxScaler,,25,KNeighborsClassifier
,,classification,FunctionTransformer,0.7143790849673202,,MinMaxScaler,,28,KNeighborsClassifier
,,normalization_discretization_classification,FunctionTransformer,0.9774509803921569,,MinMaxScaler,,22,KNeighborsClassifier
,,normalization_discretization_classification,FunctionTransformer,0.9663398692810456,,MinMaxScaler,,19,KNeighborsClassifier
,,normalization_discretization_classification,FunctionTransformer,0.9718954248366012,,MinMaxScaler,,25,KNeighborsClassifier
,,normalization_classification,FunctionTransformer,0.9774509803921569,,MinMaxScaler,,22,KNeighborsClassifier
,,discretization_classification,FunctionTransformer,0.7199346405228757,,MinMaxScaler,,22,KNeighborsClassifier
,,normalization_discretization_classification,FunctionTransformer,0.9774509803921569,,MinMaxScaler,,20,KNeighborsClassifier
,,normalization_discretization_classification,FunctionTransformer,0.9774509803921569,,MinMaxScaler,,24,KNeighborsClassifier
,,normalization_discretization_classification,FunctionTransformer,0.9774509803921569,,MinMaxScaler,,21,KNeighborsClassifier
,,normalization_discretization_classification,FunctionTransformer,0.9718954248366012,,MinMaxScaler,,23,KNeighborsClassifier
,8,discretization_normalization_classification,KBinsDiscretizer,0.9493464052287581,,FunctionTransformer,,10,KNeighborsClassifier
,9,normalization_classification,KBinsDiscretizer,0.9718954248366012,,MinMaxScaler,,15,KNeighborsClassifier
,9,normalization_classification,KBinsDiscretizer,0.9663398692810456,,MinMaxScaler,,14,KNeighborsClassifier
,3,discretization_classification,KBinsDiscretizer,-inf,,MinMaxScaler,2,,DecisionTreeClassifier
False,3,normalization_discretization_classification,KBinsDiscretizer,0.9326797385620915,True,StandardScaler,,17,KNeighborsClassifier
,9,normalization_classification,KBinsDiscretizer,0.9774509803921569,,MinMaxScaler,,24,KNeighborsClassifier
,9,normalization_classification,KBinsDiscretizer,0.9774509803921569,,MinMaxScaler,,22,KNeighborsClassifier
