normalization__type,normalization__with_std,accuracy,discretization__type,normalization__with_mean,classification__max_depth,discretization__n_bins,prototype,classification__type,classification__n_neighbors
FunctionTransformer,,0.6699346405228759,FunctionTransformer,,,,normalization_discretization_classification,KNeighborsClassifier,2
FunctionTransformer,,0.865032679738562,FunctionTransformer,,14,,normalization_classification,DecisionTreeClassifier,
StandardScaler,False,-inf,KBinsDiscretizer,False,25,4,discretization_normalization_classification,DecisionTreeClassifier,
FunctionTransformer,,0.6699346405228759,FunctionTransformer,,,,classification,KNeighborsClassifier,2
FunctionTransformer,,0.7209150326797384,FunctionTransformer,,,,discretization_classification,KNeighborsClassifier,3
FunctionTransformer,,0.6977124183006536,FunctionTransformer,,,,classification,KNeighborsClassifier,9
MinMaxScaler,,0.9663398692810456,FunctionTransformer,,,,discretization_normalization_classification,KNeighborsClassifier,29
MinMaxScaler,,0.9718954248366012,FunctionTransformer,,,,discretization_normalization_classification,KNeighborsClassifier,25
MinMaxScaler,,0.7143790849673202,FunctionTransformer,,,,classification,KNeighborsClassifier,28
MinMaxScaler,,0.9774509803921569,FunctionTransformer,,,,normalization_discretization_classification,KNeighborsClassifier,22
MinMaxScaler,,0.9663398692810456,FunctionTransformer,,,,normalization_discretization_classification,KNeighborsClassifier,19
MinMaxScaler,,0.9718954248366012,FunctionTransformer,,,,normalization_discretization_classification,KNeighborsClassifier,25
MinMaxScaler,,0.9774509803921569,FunctionTransformer,,,,normalization_classification,KNeighborsClassifier,22
MinMaxScaler,,0.7199346405228757,FunctionTransformer,,,,discretization_classification,KNeighborsClassifier,22
MinMaxScaler,,0.9774509803921569,FunctionTransformer,,,,normalization_discretization_classification,KNeighborsClassifier,20
MinMaxScaler,,0.9774509803921569,FunctionTransformer,,,,normalization_discretization_classification,KNeighborsClassifier,24
MinMaxScaler,,0.9774509803921569,FunctionTransformer,,,,normalization_discretization_classification,KNeighborsClassifier,21
MinMaxScaler,,0.9718954248366012,FunctionTransformer,,,,normalization_discretization_classification,KNeighborsClassifier,23
FunctionTransformer,,0.9493464052287581,KBinsDiscretizer,,,8,discretization_normalization_classification,KNeighborsClassifier,10
MinMaxScaler,,0.9718954248366012,KBinsDiscretizer,,,9,normalization_classification,KNeighborsClassifier,15
MinMaxScaler,,0.9663398692810456,KBinsDiscretizer,,,9,normalization_classification,KNeighborsClassifier,14
MinMaxScaler,,-inf,KBinsDiscretizer,,2,3,discretization_classification,DecisionTreeClassifier,
StandardScaler,True,0.9326797385620915,KBinsDiscretizer,False,,3,normalization_discretization_classification,KNeighborsClassifier,17
MinMaxScaler,,0.9774509803921569,KBinsDiscretizer,,,9,normalization_classification,KNeighborsClassifier,24
MinMaxScaler,,0.9774509803921569,KBinsDiscretizer,,,9,normalization_classification,KNeighborsClassifier,22
