discretization__n_bins,normalization__with_std,classification__type,normalization__with_mean,accuracy,prototype,normalization__type,classification__max_depth,classification__n_neighbors,discretization__type
,,KNeighborsClassifier,,0.6699346405228759,normalization_discretization_classification,FunctionTransformer,,2,FunctionTransformer
,,DecisionTreeClassifier,,0.865032679738562,normalization_classification,FunctionTransformer,14,,FunctionTransformer
4,False,DecisionTreeClassifier,False,-inf,discretization_normalization_classification,StandardScaler,25,,KBinsDiscretizer
,,KNeighborsClassifier,,0.6699346405228759,classification,FunctionTransformer,,2,FunctionTransformer
,,KNeighborsClassifier,,0.7209150326797384,discretization_classification,FunctionTransformer,,3,FunctionTransformer
,,KNeighborsClassifier,,0.6977124183006536,classification,FunctionTransformer,,9,FunctionTransformer
,,KNeighborsClassifier,,0.9663398692810456,discretization_normalization_classification,MinMaxScaler,,29,FunctionTransformer
,,KNeighborsClassifier,,0.9718954248366012,discretization_normalization_classification,MinMaxScaler,,25,FunctionTransformer
,,KNeighborsClassifier,,0.7143790849673202,classification,MinMaxScaler,,28,FunctionTransformer
,,KNeighborsClassifier,,0.9774509803921569,normalization_discretization_classification,MinMaxScaler,,22,FunctionTransformer
,,KNeighborsClassifier,,0.9663398692810456,normalization_discretization_classification,MinMaxScaler,,19,FunctionTransformer
,,KNeighborsClassifier,,0.9718954248366012,normalization_discretization_classification,MinMaxScaler,,25,FunctionTransformer
,,KNeighborsClassifier,,0.9774509803921569,normalization_classification,MinMaxScaler,,22,FunctionTransformer
,,KNeighborsClassifier,,0.7199346405228757,discretization_classification,MinMaxScaler,,22,FunctionTransformer
,,KNeighborsClassifier,,0.9774509803921569,normalization_discretization_classification,MinMaxScaler,,20,FunctionTransformer
,,KNeighborsClassifier,,0.9774509803921569,normalization_discretization_classification,MinMaxScaler,,24,FunctionTransformer
,,KNeighborsClassifier,,0.9774509803921569,normalization_discretization_classification,MinMaxScaler,,21,FunctionTransformer
,,KNeighborsClassifier,,0.9718954248366012,normalization_discretization_classification,MinMaxScaler,,23,FunctionTransformer
8,,KNeighborsClassifier,,0.9493464052287581,discretization_normalization_classification,FunctionTransformer,,10,KBinsDiscretizer
9,,KNeighborsClassifier,,0.9718954248366012,normalization_classification,MinMaxScaler,,15,KBinsDiscretizer
9,,KNeighborsClassifier,,0.9663398692810456,normalization_classification,MinMaxScaler,,14,KBinsDiscretizer
3,,DecisionTreeClassifier,,-inf,discretization_classification,MinMaxScaler,2,,KBinsDiscretizer
3,True,KNeighborsClassifier,False,0.9326797385620915,normalization_discretization_classification,StandardScaler,,17,KBinsDiscretizer
9,,KNeighborsClassifier,,0.9774509803921569,normalization_classification,MinMaxScaler,,24,KBinsDiscretizer
9,,KNeighborsClassifier,,0.9774509803921569,normalization_classification,MinMaxScaler,,22,KBinsDiscretizer
