0,1,2,3,4,5,6,7,8,9
3050.0,3862.0,21.0,64.0,307.0,4.0,7.0,64.0,4.0,1.0
644.0,156.0,21.0,68.0,299.0,34.0,59.0,66.0,38.0,1.0
2706.0,1533.0,50.0,57.0,14.0,0.0,2083.0,3.0,0.0,1.0
2615.0,867.0,21.0,68.0,181.0,22.0,1901.0,64.0,23.0,1.0
3616.0,941.0,15.0,13.0,157.0,70.0,325.0,4.0,77.0,1.0
4172.0,1539.0,19.0,18.0,23.0,36.0,65.0,3.0,40.0,0.0
1329.0,1867.0,21.0,68.0,308.0,60.0,2250.0,8.0,66.0,1.0
756.0,577.0,21.0,22.0,117.0,219.0,2091.0,21.0,229.0,1.0
1842.0,65.0,21.0,72.0,222.0,235.0,2258.0,1.0,245.0,1.0
5481.0,3330.0,33.0,38.0,13.0,0.0,2268.0,3.0,0.0,1.0
194.0,371.0,21.0,72.0,65.0,47.0,7.0,64.0,51.0,1.0
380.0,3950.0,9.0,35.0,143.0,65.0,861.0,30.0,72.0,1.0
5771.0,2771.0,54.0,75.0,288.0,123.0,284.0,28.0,132.0,1.0
194.0,3008.0,3.0,34.0,33.0,88.0,1402.0,7.0,96.0,1.0
6929.0,2000.0,21.0,68.0,70.0,22.0,7.0,64.0,23.0,1.0
751.0,1015.0,50.0,57.0,35.0,1.0,3.0,5.0,1.0,1.0
7385.0,2278.0,21.0,36.0,161.0,22.0,7.0,64.0,23.0,1.0
2448.0,3375.0,21.0,74.0,94.0,41.0,71.0,24.0,45.0,1.0
6673.0,1065.0,21.0,68.0,299.0,19.0,707.0,64.0,20.0,1.0
1499.0,912.0,21.0,72.0,273.0,22.0,7.0,64.0,23.0,1.0
2809.0,830.0,21.0,64.0,62.0,92.0,2264.0,14.0,100.0,1.0
405.0,4051.0,21.0,64.0,101.0,4.0,1901.0,64.0,4.0,1.0
6850.0,58.0,21.0,64.0,138.0,46.0,2143.0,66.0,50.0,1.0
100.0,3862.0,21.0,64.0,213.0,22.0,7.0,64.0,23.0,1.0
194.0,1155.0,21.0,36.0,113.0,17.0,7.0,64.0,18.0,1.0
3377.0,2519.0,54.0,75.0,298.0,17.0,540.0,64.0,18.0,1.0
5256.0,1566.0,21.0,36.0,179.0,4.0,7.0,64.0,4.0,1.0
836.0,1348.0,49.0,82.0,110.0,315.0,515.0,5.0,6.0,1.0
5315.0,2763.0,35.0,40.0,14.0,36.0,1360.0,3.0,40.0,1.0
5617.0,581.0,21.0,64.0,202.0,102.0,985.0,14.0,110.0,1.0
1107.0,749.0,21.0,68.0,158.0,103.0,2326.0,14.0,111.0,1.0
2333.0,73.0,21.0,64.0,316.0,4.0,7.0,64.0,4.0,1.0
3819.0,4176.0,9.0,35.0,162.0,35.0,197.0,63.0,39.0,1.0
2111.0,740.0,21.0,64.0,107.0,52.0,1798.0,14.0,56.0,1.0
5372.0,1129.0,21.0,68.0,282.0,11.0,205.0,5.0,11.0,1.0
644.0,66.0,70.0,100.0,20.0,337.0,1164.0,65.0,71.0,1.0
2940.0,198.0,78.0,103.0,26.0,96.0,1459.0,63.0,104.0,1.0
327.0,2942.0,14.0,61.0,14.0,36.0,2153.0,3.0,40.0,1.0
4102.0,98.0,21.0,66.0,48.0,127.0,193.0,15.0,136.0,1.0
326.0,157.0,21.0,58.0,301.0,125.0,288.0,21.0,134.0,1.0
328.0,2800.0,15.0,13.0,18.0,36.0,2153.0,3.0,40.0,1.0
4729.0,2867.0,21.0,64.0,39.0,83.0,1843.0,21.0,91.0,0.0
314.0,130.0,21.0,64.0,232.0,47.0,621.0,64.0,51.0,1.0
1873.0,939.0,21.0,66.0,204.0,46.0,2219.0,66.0,50.0,1.0
100.0,2171.0,21.0,36.0,151.0,46.0,2143.0,66.0,50.0,1.0
1987.0,514.0,21.0,68.0,206.0,104.0,2071.0,8.0,112.0,1.0
753.0,2043.0,21.0,72.0,65.0,47.0,1901.0,64.0,51.0,1.0
417.0,204.0,21.0,64.0,29.0,110.0,2267.0,22.0,119.0,1.0
7352.0,867.0,21.0,68.0,181.0,123.0,85.0,28.0,132.0,1.0
841.0,1932.0,7.0,5.0,13.0,0.0,2.0,3.0,0.0,1.0
6213.0,1781.0,21.0,74.0,131.0,143.0,651.0,32.0,153.0,1.0
5933.0,2660.0,21.0,36.0,201.0,340.0,2346.0,9.0,24.0,1.0
4609.0,3607.0,21.0,71.0,99.0,4.0,7.0,64.0,4.0,1.0
3136.0,1155.0,21.0,36.0,113.0,4.0,1442.0,64.0,4.0,1.0
1329.0,1074.0,21.0,21.0,142.0,17.0,39.0,64.0,18.0,1.0
5318.0,2981.0,11.0,48.0,104.0,36.0,1291.0,3.0,40.0,0.0
2073.0,200.0,21.0,64.0,138.0,47.0,7.0,64.0,51.0,1.0
2365.0,939.0,21.0,66.0,204.0,38.0,1900.0,22.0,42.0,1.0
1566.0,506.0,21.0,74.0,203.0,22.0,7.0,64.0,23.0,1.0
2142.0,1426.0,19.0,18.0,19.0,0.0,4.0,3.0,0.0,1.0
1359.0,3308.0,48.0,80.0,15.0,2.0,8.0,5.0,2.0,1.0
1551.0,2908.0,3.0,34.0,155.0,22.0,7.0,64.0,23.0,1.0
3323.0,1024.0,21.0,22.0,4.0,152.0,2089.0,2.0,162.0,1.0
853.0,4205.0,14.0,61.0,18.0,36.0,2317.0,3.0,40.0,1.0
2600.0,247.0,50.0,57.0,230.0,46.0,602.0,66.0,50.0,1.0
4370.0,1803.0,21.0,58.0,217.0,26.0,2093.0,13.0,27.0,1.0
2424.0,1562.0,21.0,21.0,45.0,47.0,7.0,64.0,51.0,0.0
651.0,551.0,21.0,64.0,62.0,42.0,1774.0,8.0,46.0,1.0
426.0,1990.0,51.0,60.0,86.0,61.0,2172.0,65.0,67.0,0.0
3136.0,3276.0,60.0,51.0,146.0,6.0,129.0,65.0,5.0,1.0
3500.0,3896.0,54.0,75.0,72.0,67.0,229.0,16.0,74.0,1.0
1411.0,271.0,21.0,66.0,121.0,4.0,7.0,64.0,4.0,1.0
2498.0,2022.0,21.0,68.0,158.0,199.0,2018.0,14.0,209.0,1.0
5579.0,3403.0,64.0,84.0,19.0,1.0,125.0,5.0,1.0,1.0
133.0,64.0,21.0,72.0,366.0,47.0,1901.0,64.0,51.0,1.0
4227.0,1109.0,21.0,58.0,171.0,22.0,54.0,64.0,23.0,1.0
1107.0,566.0,21.0,64.0,184.0,340.0,2264.0,9.0,24.0,1.0
6910.0,2990.0,52.0,62.0,13.0,36.0,65.0,3.0,40.0,1.0
5496.0,1693.0,21.0,36.0,284.0,239.0,1309.0,65.0,249.0,1.0
750.0,1339.0,37.0,43.0,156.0,315.0,1225.0,5.0,6.0,1.0
709.0,2714.0,21.0,21.0,278.0,229.0,597.0,64.0,239.0,1.0
2851.0,3393.0,22.0,23.0,14.0,1.0,8.0,5.0,1.0,1.0
182.0,1903.0,21.0,74.0,91.0,22.0,7.0,64.0,23.0,1.0
7492.0,1085.0,21.0,58.0,205.0,65.0,822.0,30.0,72.0,1.0
2515.0,1008.0,21.0,68.0,111.0,4.0,1901.0,64.0,4.0,1.0
2432.0,1895.0,3.0,34.0,33.0,19.0,39.0,64.0,20.0,1.0
182.0,775.0,21.0,64.0,62.0,92.0,2326.0,14.0,100.0,1.0
3426.0,1777.0,21.0,36.0,95.0,32.0,2313.0,9.0,36.0,1.0
1304.0,2734.0,21.0,66.0,48.0,127.0,959.0,15.0,136.0,1.0
4936.0,2725.0,21.0,71.0,116.0,156.0,2302.0,32.0,165.0,1.0
100.0,146.0,21.0,21.0,109.0,38.0,2280.0,22.0,42.0,1.0
1018.0,528.0,21.0,36.0,95.0,22.0,7.0,64.0,23.0,0.0
881.0,316.0,21.0,71.0,322.0,4.0,7.0,64.0,4.0,1.0
1670.0,1154.0,21.0,36.0,121.0,47.0,1724.0,64.0,51.0,1.0
4981.0,1888.0,70.0,100.0,26.0,9.0,1130.0,63.0,9.0,1.0
3426.0,3608.0,3.0,34.0,33.0,4.0,7.0,64.0,4.0,1.0
199.0,3000.0,21.0,74.0,174.0,17.0,39.0,64.0,18.0,1.0
5287.0,629.0,21.0,71.0,92.0,22.0,7.0,64.0,23.0,1.0
2982.0,1657.0,61.0,79.0,78.0,337.0,467.0,65.0,71.0,1.0
4682.0,280.0,21.0,21.0,68.0,121.0,2295.0,19.0,130.0,1.0
4352.0,1838.0,21.0,58.0,52.0,11.0,2177.0,5.0,11.0,1.0
5603.0,1845.0,21.0,64.0,178.0,26.0,2237.0,13.0,27.0,1.0
2671.0,1649.0,43.0,50.0,31.0,246.0,1539.0,35.0,256.0,0.0
600.0,2718.0,21.0,21.0,16.0,87.0,287.0,64.0,95.0,1.0
5262.0,1563.0,21.0,72.0,210.0,22.0,7.0,64.0,23.0,1.0
6062.0,918.0,21.0,64.0,333.0,22.0,7.0,64.0,23.0,1.0
1294.0,97.0,21.0,66.0,253.0,38.0,2280.0,22.0,42.0,1.0
442.0,621.0,21.0,71.0,258.0,46.0,2143.0,66.0,50.0,1.0
194.0,3465.0,60.0,51.0,41.0,22.0,7.0,64.0,23.0,1.0
4333.0,668.0,9.0,7.0,138.0,127.0,599.0,15.0,136.0,1.0
4611.0,438.0,9.0,35.0,26.0,9.0,20.0,63.0,9.0,1.0
6793.0,1098.0,21.0,21.0,45.0,4.0,7.0,64.0,4.0,1.0
6021.0,2052.0,21.0,21.0,45.0,22.0,7.0,64.0,23.0,0.0
6491.0,3979.0,10.0,8.0,14.0,0.0,3.0,3.0,0.0,1.0
159.0,62.0,21.0,64.0,138.0,28.0,599.0,15.0,29.0,1.0
5550.0,901.0,103.0,143.0,67.0,261.0,1459.0,63.0,270.0,1.0
2142.0,2935.0,24.0,25.0,19.0,36.0,2153.0,3.0,40.0,1.0
1070.0,2146.0,21.0,67.0,22.0,315.0,1489.0,5.0,6.0,1.0
3506.0,927.0,3.0,34.0,149.0,73.0,2289.0,23.0,80.0,1.0
2937.0,1917.0,9.0,35.0,26.0,9.0,20.0,63.0,9.0,1.0
1211.0,2048.0,52.0,62.0,13.0,0.0,2.0,3.0,0.0,1.0
112.0,1060.0,21.0,68.0,70.0,4.0,1901.0,64.0,4.0,1.0
1023.0,2556.0,21.0,36.0,212.0,146.0,604.0,14.0,156.0,0.0
2264.0,3006.0,21.0,72.0,175.0,4.0,7.0,64.0,4.0,1.0
5447.0,1158.0,21.0,68.0,138.0,22.0,7.0,64.0,23.0,1.0
5567.0,4187.0,95.0,131.0,132.0,27.0,350.0,14.0,28.0,1.0
3548.0,3996.0,9.0,7.0,395.0,4.0,7.0,64.0,4.0,1.0
2304.0,537.0,21.0,64.0,70.0,22.0,1901.0,64.0,23.0,1.0
766.0,597.0,77.0,102.0,70.0,46.0,2143.0,66.0,50.0,1.0
7116.0,1619.0,21.0,68.0,196.0,342.0,609.0,18.0,33.0,1.0
3031.0,3061.0,54.0,65.0,440.0,40.0,2143.0,66.0,44.0,1.0
551.0,4051.0,21.0,64.0,101.0,4.0,1901.0,64.0,4.0,1.0
371.0,62.0,21.0,64.0,232.0,28.0,599.0,15.0,29.0,1.0
5059.0,1604.0,6.0,51.0,81.0,83.0,1719.0,21.0,91.0,1.0
4255.0,107.0,21.0,66.0,193.0,55.0,438.0,13.0,59.0,1.0
878.0,2735.0,21.0,66.0,354.0,38.0,2280.0,22.0,42.0,1.0
