0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
46.0,12.0,0.0,3.0,66.0,9.0,4.0,16.0,13.0,13.0,4.0,8.0,8.0,1.0,0.0,1.0,5.0,0.0,21.0,12.0,16.0,3.0,6.0,62.0,3.0,3.0,30.0,3.0,9.0,14.0,1.0,2.0,6.0,5.0,0.0,10.0,16.0,2.0,54.0,7.0,8.0,1.0,7.0,0.0,4.0,7.0,1.0,3.0,3.0,17.0,67.0,6.0,2.0,5.0,1.0,4.0,47.0,2.0,3.0,40.0,11.0,7.0,5.0,6.0,8.0,4.0,9.0,1.0,0.0,1.0,0.0
35.0,10.0,0.0,7.0,44.0,4.0,3.0,18.0,16.0,9.0,3.0,9.0,14.0,2.0,5.0,1.0,2.0,4.0,14.0,8.0,14.0,2.0,6.0,42.0,1.0,2.0,22.0,5.0,11.0,21.0,1.0,1.0,7.0,4.0,8.0,10.0,11.0,3.0,57.0,10.0,5.0,2.0,6.0,1.0,4.0,11.0,7.0,6.0,5.0,17.0,76.0,6.0,2.0,7.0,0.0,7.0,48.0,1.0,1.0,27.0,13.0,5.0,7.0,7.0,3.0,5.0,14.0,8.0,0.0,1.0,0.0
46.0,2.0,0.0,3.0,40.0,1.0,13.0,11.0,9.0,23.0,11.0,13.0,13.0,4.0,7.0,3.0,0.0,8.0,15.0,2.0,12.0,5.0,20.0,17.0,9.0,6.0,31.0,1.0,16.0,27.0,1.0,3.0,7.0,4.0,10.0,6.0,19.0,8.0,41.0,7.0,7.0,1.0,7.0,2.0,5.0,10.0,7.0,4.0,8.0,10.0,48.0,4.0,3.0,4.0,1.0,6.0,46.0,1.0,1.0,24.0,6.0,10.0,4.0,6.0,4.0,5.0,15.0,3.0,9.0,1.0,0.0
40.0,7.0,0.0,4.0,64.0,3.0,3.0,20.0,13.0,20.0,7.0,11.0,6.0,1.0,1.0,4.0,0.0,6.0,20.0,3.0,26.0,2.0,4.0,33.0,4.0,2.0,26.0,0.0,12.0,11.0,3.0,0.0,6.0,1.0,3.0,7.0,15.0,3.0,62.0,11.0,2.0,3.0,4.0,1.0,5.0,7.0,0.0,3.0,6.0,16.0,80.0,13.0,3.0,3.0,1.0,7.0,43.0,1.0,1.0,26.0,10.0,3.0,6.0,10.0,5.0,3.0,22.0,4.0,3.0,1.0,0.0
29.0,5.0,0.0,6.0,52.0,5.0,14.0,17.0,6.0,16.0,12.0,8.0,9.0,5.0,3.0,2.0,0.0,6.0,17.0,8.0,10.0,2.0,19.0,18.0,4.0,4.0,38.0,3.0,12.0,22.0,5.0,0.0,4.0,6.0,4.0,8.0,21.0,4.0,69.0,4.0,6.0,6.0,15.0,3.0,2.0,12.0,5.0,5.0,1.0,13.0,87.0,10.0,0.0,3.0,1.0,5.0,34.0,3.0,1.0,23.0,5.0,8.0,4.0,13.0,2.0,4.0,21.0,10.0,0.0,1.0,0.0
27.0,8.0,0.0,3.0,42.0,2.0,15.0,11.0,14.0,12.0,6.0,13.0,12.0,3.0,17.0,0.0,1.0,1.0,9.0,3.0,6.0,0.0,15.0,18.0,9.0,11.0,15.0,0.0,21.0,22.0,0.0,3.0,4.0,4.0,11.0,5.0,31.0,4.0,45.0,8.0,6.0,2.0,4.0,3.0,6.0,13.0,1.0,4.0,2.0,23.0,59.0,2.0,0.0,6.0,0.0,8.0,37.0,4.0,1.0,13.0,8.0,7.0,1.0,7.0,6.0,3.0,18.0,4.0,5.0,1.0,0.0
34.0,8.0,0.0,15.0,44.0,2.0,6.0,16.0,14.0,11.0,5.0,16.0,9.0,2.0,11.0,1.0,0.0,4.0,14.0,6.0,11.0,3.0,13.0,15.0,6.0,3.0,17.0,2.0,10.0,40.0,2.0,0.0,2.0,5.0,11.0,9.0,14.0,3.0,52.0,9.0,7.0,5.0,4.0,0.0,2.0,13.0,5.0,7.0,3.0,21.0,62.0,2.0,2.0,4.0,2.0,6.0,31.0,4.0,2.0,27.0,3.0,4.0,4.0,2.0,4.0,9.0,11.0,6.0,4.0,1.0,0.0
38.0,6.0,1.0,2.0,67.0,3.0,6.0,17.0,4.0,21.0,4.0,7.0,13.0,0.0,2.0,1.0,2.0,0.0,15.0,7.0,18.0,1.0,2.0,41.0,14.0,2.0,21.0,3.0,13.0,16.0,0.0,2.0,2.0,4.0,4.0,2.0,16.0,4.0,61.0,9.0,4.0,7.0,1.0,0.0,4.0,9.0,1.0,4.0,4.0,15.0,75.0,2.0,4.0,2.0,1.0,7.0,55.0,4.0,0.0,16.0,7.0,2.0,3.0,4.0,6.0,7.0,15.0,3.0,5.0,1.0,0.0
34.0,12.0,0.0,5.0,50.0,2.0,8.0,7.0,13.0,7.0,6.0,10.0,10.0,4.0,8.0,0.0,1.0,2.0,14.0,8.0,15.0,3.0,15.0,37.0,4.0,5.0,24.0,3.0,15.0,23.0,1.0,1.0,7.0,1.0,11.0,4.0,29.0,3.0,39.0,7.0,5.0,2.0,6.0,1.0,0.0,13.0,1.0,8.0,3.0,13.0,51.0,4.0,1.0,4.0,0.0,14.0,54.0,3.0,2.0,19.0,7.0,8.0,7.0,6.0,1.0,2.0,13.0,12.0,5.0,1.0,0.0
54.0,8.0,0.0,6.0,44.0,4.0,8.0,13.0,17.0,14.0,2.0,10.0,8.0,2.0,7.0,7.0,0.0,0.0,15.0,2.0,7.0,1.0,7.0,29.0,19.0,5.0,36.0,2.0,18.0,20.0,6.0,1.0,1.0,2.0,5.0,8.0,26.0,5.0,45.0,6.0,6.0,1.0,8.0,2.0,3.0,8.0,2.0,5.0,1.0,18.0,67.0,3.0,4.0,14.0,1.0,4.0,43.0,2.0,3.0,24.0,3.0,7.0,1.0,6.0,3.0,5.0,15.0,6.0,2.0,1.0,0.0
