discretization__n_bins,classification__type,balanced_accuracy,discretization__type,prototype,normalization__type,classification__n_neighbors,normalization__with_mean,normalization__with_std,classification__max_depth
,KNeighborsClassifier,0.9466666666666667,FunctionTransformer,normalization_classification,StandardScaler,19,True,True,
2,DecisionTreeClassifier,-inf,KBinsDiscretizer,discretization_classification,StandardScaler,,False,True,29
,DecisionTreeClassifier,-inf,FunctionTransformer,discretization_normalization_classification,MinMaxScaler,,,,2
,DecisionTreeClassifier,-inf,FunctionTransformer,classification,StandardScaler,,True,True,17
4,DecisionTreeClassifier,-inf,KBinsDiscretizer,discretization_normalization_classification,StandardScaler,,False,False,2
,DecisionTreeClassifier,-inf,FunctionTransformer,normalization_discretization_classification,StandardScaler,,False,True,29
,DecisionTreeClassifier,-inf,FunctionTransformer,discretization_classification,MinMaxScaler,,,,29
,KNeighborsClassifier,0.9533333333333334,FunctionTransformer,normalization_classification,StandardScaler,2,True,True,
9,KNeighborsClassifier,0.9533333333333334,KBinsDiscretizer,classification,MinMaxScaler,29,,,
,DecisionTreeClassifier,-inf,FunctionTransformer,normalization_discretization_classification,MinMaxScaler,,,,2
5,KNeighborsClassifier,0.9533333333333334,KBinsDiscretizer,classification,MinMaxScaler,2,,,
6,KNeighborsClassifier,0.9400000000000001,KBinsDiscretizer,normalization_discretization_classification,StandardScaler,20,False,True,
6,KNeighborsClassifier,0.9399999999999998,KBinsDiscretizer,normalization_discretization_classification,StandardScaler,17,True,True,
,KNeighborsClassifier,0.9533333333333334,FunctionTransformer,normalization_discretization_classification,MinMaxScaler,27,,,
9,KNeighborsClassifier,0.9666666666666666,KBinsDiscretizer,normalization_classification,MinMaxScaler,17,,,
4,KNeighborsClassifier,0.9399999999999998,KBinsDiscretizer,normalization_discretization_classification,StandardScaler,22,False,True,
8,KNeighborsClassifier,0.96,KBinsDiscretizer,normalization_classification,MinMaxScaler,13,,,
2,KNeighborsClassifier,0.96,KBinsDiscretizer,classification,StandardScaler,6,True,True,
5,KNeighborsClassifier,0.8866666666666665,KBinsDiscretizer,normalization_discretization_classification,MinMaxScaler,17,,,
7,DecisionTreeClassifier,-inf,KBinsDiscretizer,normalization_classification,MinMaxScaler,,,,2
9,KNeighborsClassifier,0.96,KBinsDiscretizer,normalization_classification,StandardScaler,26,False,False,
3,KNeighborsClassifier,0.9333333333333332,KBinsDiscretizer,normalization_discretization_classification,MinMaxScaler,19,,,
5,DecisionTreeClassifier,-inf,KBinsDiscretizer,normalization_discretization_classification,StandardScaler,,False,True,27
,KNeighborsClassifier,0.9533333333333334,FunctionTransformer,classification,StandardScaler,2,True,False,
8,KNeighborsClassifier,0.9533333333333334,KBinsDiscretizer,normalization_classification,MinMaxScaler,27,,,
